,director,Number_MoviesShows_dir,dir_average_score
2326,Rod Cabatana Marmol,1,13.0
2327,Rod S. Scott,1,12.0
2328,Rodrigo Reyes,1,6.0
2329,Rodrigo Van Der Put,1,46.0
2330,Roger Allers,1,56.0
2331,Roger Christian,1,41.0
2332,Roger Corman,2,48.5
2333,Roger Donaldson,3,56.0
2334,"Roger Graef, James Rogan",1,25.0
2335,Roger Gual,1,61.0
2336,Roger Kumble,2,45.0
2337,Roger Melvin,1,19.0
2338,Roger Sherman,1,26.0
2339,Roger Vadim,1,44.0
2340,Roger Young,1,31.0
2341,Rohit Jugraj,2,13.5
2342,Rohit Shetty,1,59.0
2343,Roland Emmerich,2,57.0
2344,Roland West,1,6.0
2345,"Roman Atwood, Ben Pluimer",1,39.0
2346,Roman Gackowski,1,13.0
2347,"Ron Clements, John Musker",1,75.0
2348,Ron Davis,1,36.0
2349,Ron Howard,2,69.5
2350,Ron Krauss,1,55.0
2351,Ron Underwood,1,56.0
2352,Ronnie Del Carmen,1,69.0
2353,Ross Boyask,1,24.0
2354,Rowan Athale,1,60.0
2355,Rowan Joffe,1,50.0
2356,"Roy Burdine, Johnny Castuciano",1,36.0
2357,"Roy Del Ruth, Hal Roach",1,53.0
2358,Roy Knyrim,1,26.0
2359,Ruairi Robinson,1,44.0
2360,Rudy de Luca,1,37.0
2361,Ruel S. Bayani,2,17.5
2362,"Rupert Julian, Eric von Stroheim",1,9.0
2363,Rupert Wainwright,1,43.0
2364,Russell Holt,1,29.0
2365,Russell Mulcahy,2,49.5
2366,Ryan Koo,1,60.0
2367,Ryan Murphy,1,56.0
2368,Ryan P. Bartley,1,9.0
2369,Ryan Polito,4,50.5
2370,Ryuta Tasaki,1,46.0
2371,S.S. Wilson,2,53.0
2372,Saandeep Patel,1,15.0
2373,Sabir Khan,1,47.0
2374,Sacha Gervasi,1,43.0
2375,Sacha Polak,1,50.0
2376,Sacha Wolff,1,21.0
2377,Sachin Yardi,2,19.0
2378,Sai Paranjape,1,30.0
2379,Saket Chaudhary,2,54.0
2380,Sally Potter,2,70.5
2381,Salvador Espinosa,1,34.0
2382,"Sam ""Blitz"" Bazawule",1,54.0
2383,Sam Anton,1,45.0
2384,"Sam Fell, Chris Butler",1,73.0
2385,Sam Firstenberg,1,45.0
2386,Sam Irvin,2,30.5
2387,Sam Levinson,1,63.0
2388,Sam Macaroni,1,37.0
2389,Sam Mendes,1,86.0
2390,Sam O'Steen,1,32.0
2391,Sam Pillsbury,1,31.0
2392,"Saman Kesh, Jeff Desom, Dugan O'Neal",1,34.0
2393,Sameer Sharma,1,35.0
2394,Sameh Abdulaziz,2,7.0
2395,Sammaria Sari Simanjuntak,1,16.0
2396,"Samuel Armstrong, James Algar, Bill Roberts",1,84.0
2397,Samuel Fischer,1,39.0
2398,Samuel Fuller,1,72.0
2399,Sandeep Vanga,1,64.0
2400,Sandi Tan,1,83.0
2401,Sandra Goldbacher,1,71.0
2402,Sandra Kogut,1,42.0
2403,Sandra L. Martin,1,19.0
2404,Sandra Restrepo,1,48.0
2405,Sandy Chronopoulos,1,29.0
2406,Sang Jun Park,1,22.0
2407,Sangeeth Sivan,1,33.0
2408,Sanjay Dayma,1,26.0
2409,Sanjay Gadhvi,1,67.0
2410,Sanjay Gupta,1,64.0
2411,Sanjay Leela Bhansali,2,65.5
2412,Santhakumar,1,28.0
2413,Santhosh P Jayakumar,1,9.0
2414,"Santiago Diaz, Pablo Martin Farina",1,16.0
2415,Sara Dosa,1,42.0
2416,Sara Sugarman,1,43.0
2417,Sarah Adina Smith,2,60.5
2418,Sarah Daggar-Nickson,1,66.0
2419,Sarah Gavron,1,64.0
2420,Sarah Harper,1,9.0
2421,Sarah Moshman,1,25.0
2422,Sarah Polley,2,74.5
2423,Sarah Siegel-Magness,1,29.0
2424,Sarah Townsend,2,30.0
2425,Saravana Rajan,1,8.0
2426,Sarawut Wichiensarn,1,11.0
2427,Sarik Andreasyan,1,37.0
2428,Sathyan Anthikad,1,54.0
2429,Satish Kaushik,1,10.0
2430,Satish Rajwade,1,9.0
2431,Satyajit Bhatkal,1,14.0
2432,Satyajit Ray,1,79.0
2433,Saul Dibb,1,71.0
2434,Savage Holland,1,51.0
2435,Savage Steve Holland,2,39.5
2436,Savvas D. Michael,1,9.0
2437,"Scott Aukerman, Akiva Schaffer",1,59.0
2438,"Scott Conditt, Jeremy Tremp",1,40.0
2439,Scott Hicks,1,57.0
2440,"Scott Jeffrey, Rebecca Matthews",1,16.0
2441,Scott Marshall,1,17.0
2442,Scott Marshall Smith,1,25.0
2443,Scott Martin,1,30.0
2444,"Scott Rutherford, Ben Peyser",1,43.0
2445,Scott Stewart,1,53.0
2446,Scott Z. Burns,1,70.0
2447,Scott Zabielski,2,52.5
2448,Scott Ziehl,1,37.0
2449,Sean Anders,1,56.0
2450,Sean Baker,1,77.0
2451,Sean Foley,1,67.0
2452,"Sean King, Taylor King",1,14.0
2453,Sean McNamara,2,35.5
2454,Sean Menard,1,47.0
2455,Sean Mewshaw,1,64.0
2456,Sean Patrick O'Reilly,1,11.0
2457,Sean Penn,1,82.0
2458,Sean Stanek,1,9.0
2459,Sebastian DiNatale,1,66.0
2460,Sebastian Gutierrez,1,56.0
2461,Sebastián Cordero,1,66.0
2462,Sebastián Schindel,1,58.0
2463,Selima Taibi,1,50.0
2464,Sergei Bodrov,1,43.0
2465,Sergio Barrejón,1,21.0
2466,Sergio Leone,2,84.0
2467,Shaad Ali,2,52.5
2468,Shaad Ali Sahgal,1,28.0
2469,Shakti Samanta,1,19.0
2470,Shalini Kantayya,2,54.0
2471,Shana Betz,1,26.0
2472,Shane Dax Taylor,1,32.0
2473,"Shane Kuhn, Brendan Cowles",1,37.0
2474,Shane O'Sullivan,1,7.0
2475,Shanker Raman,1,36.0
2476,Shannon Hartman,3,44.666666666666664
2477,Sharan Sharma,1,59.0
2478,Shashank Khaitan,3,51.0
2479,"Shashank Khaitan, Raj Mehta, Neeraj Ghaywan, Kayoze Irani",1,55.0
2480,Shashanka Ghosh,1,61.0
2481,Shaun Paul Piccinino,1,57.0
2482,Shawn Cauthen,1,24.0
2483,Shawn Levy,3,43.666666666666664
2484,Shawn Rech,1,44.0
2485,Shawn Seet,1,62.0
2486,Sheldon Lettich,1,55.0
2487,Shigeaki Kubo,1,17.0
2488,Shigeo Tanaka,1,43.0
2489,Shin Won-ho,2,54.0
2490,"Shinji Aramaki, Masaru Matsumoto",1,52.0
2491,Shirish Kunder,1,34.0
2492,Shiva Nirvana,1,35.0
2493,Shlok Sharma,1,40.0
2494,Shreyas Talpade,1,20.0
2495,Shuko Murase,1,64.0
2496,Shweta Basu Prasad,1,71.0
2497,Shyam Benegal,3,27.0
2498,Sibusiso Khuzwayo,1,11.0
2499,Siddharth Anand,1,51.0
2500,Siddharth P Malhotra,1,67.0
2501,Siddharth Raj Anand,1,56.0
2502,Siddique,1,43.0
2503,"Sidharta Tata, Aco Tenriyagelli, Dian Sastrowardoyo, Ifa Isfansyah, Jason Iskandar",1,10.0
2504,Sidney J. Furie,1,48.0
2505,Sidney Lumet,2,70.5
2506,Sigrid Andrea Bernardo,1,38.0
2507,Simcha Jacobovici,1,21.0
2508,Simerjit Singh,1,22.0
2509,Simon Baker,1,67.0
2510,Simon Hunter,1,65.0
2511,Simon Langton,1,65.0
2512,Simon Rumley,1,31.0
2513,Simon Stone,2,69.5
2514,Simon Wells,1,69.0
2515,Simon West,1,41.0
2516,Simon Wincer,2,46.0
2517,Sion Sono,2,43.5
2518,Sittisiri Mongkolsiri,1,51.0
2519,Siu-Tung Ching,1,53.0
2520,Skye Borgman,1,67.0
2521,Sofia Coppola,1,54.0
2522,Sohail Tatari,1,17.0
2523,Sonia Anderson,1,12.0
2524,Sonia Bible,1,10.0
2525,Sonia Kennebeck,1,41.0
2526,Sonia Lowman,1,27.0
2527,Sonny Mallhi,1,31.0
2528,Sooraj R. Barjatya,2,51.0
2529,Sophia Nahli Allison,1,65.0
2530,Sophie Fillières,1,18.0
2531,Sophie Goodhart,1,65.0
2532,Sopon Sukdapisit,1,40.0
2533,Spike Lee,3,77.33333333333333
2534,Spiro Razatos,1,24.0
2535,Sreekanth Addala,1,27.0
2536,Sri Senthil,1,15.0
2537,Srijit Mukherjee,1,26.0
2538,Stacie Passon,1,63.0
2539,Stacy Title,1,34.0
2540,Stan Dragoti,1,48.0
2541,Stan Lathan,1,74.0
2542,"Stanislav Sokolov, Derek W. Hayes",1,41.0
2543,Stanley Donen,2,39.0
2544,"Stanley Moore, Alex Woo",1,10.0
2545,Stanley Tong,1,45.0
2546,Stefano Lodovichi,1,54.0
2547,Stefano Mordini,1,24.0
2548,Stella Meghie,1,31.0
2549,Stephan Schultze,1,12.0
2550,Stephanie Turner,1,28.0
2551,Stephanie Zari,1,27.0
2552,Stephen Anderson,1,68.0
2553,"Stephen Anderson, Don Hall",1,75.0
2554,Stephen Chbosky,1,80.0
2555,Stephen Daldry,1,64.0
2556,Stephen Frears,2,80.0
2557,Stephen Herek,1,54.0
2558,Stephen Kay,1,9.0
2559,Stephen Kijak,1,57.0
2560,Stephen Metcalfe,1,28.0
2561,Stephen Norrington,1,48.0
2562,Stephen Reynolds,1,49.0
2563,Stephen Rutterford,1,28.0
2564,Stephen S. Campanelli,1,63.0
2565,Steve Antin,1,60.0
2566,Steve Barker,1,50.0
2567,Steve Boyum,2,54.5
2568,Steve Brill,3,47.0
2569,Steve Carr,1,63.0
2570,Steve James,1,82.0
2571,Steve Miner,1,71.0
2572,Steve Paley,1,64.0
2573,Steve Pink,1,58.0
2574,Steve Race,1,45.0
2575,Steve Sekely,1,7.0
2576,Steve Trenbirth,1,43.0
2577,Steve Williams,1,48.0
2578,Steven Ayromlooi,1,5.0
2579,"Steven Bognar, Julia Reichert",1,43.0
2580,Steven C. Miller,2,46.0
2581,Steven Jacobson,1,50.0
2582,Steven Knight,1,76.0
2583,Steven Lisberger,1,71.0
2584,Steven Luke,1,27.0
2585,Steven Robman,1,12.0
2586,Steven Schachter,1,17.0
2587,Steven Soderbergh,4,62.25
2588,Steven Spielberg,5,78.6
2589,Steven Stainberg,1,38.0
2590,Steven Tsuchida,1,30.0
2591,Steven Yamamoto,1,35.0
2592,"Stevie Wermers-Skelton, Kevin Deters",2,54.0
2593,Stewart Hendler,1,42.0
2594,Storm Ashwood,1,24.0
2595,Stuart Baird,1,63.0
2596,Stuart Gillard,3,45.0
2597,Stuart Heisler,1,23.0
2598,Stuart Rosenberg,1,88.0
2599,Stuart Sender,1,34.0
2600,"Su I-Hsuan, Chuang Shiang-an, Liu Yi",1,70.0
2601,Subhash Ghai,2,61.5
2602,Subhash Kapoor,2,31.0
2603,Sudabeh Mortezai,1,50.0
2604,Sudha Kongara,1,60.0
2605,"Sudha Kongara, Vignesh Shivan, Gautham Vasudev Menon, Vetri Maaran",1,40.0
2606,Sudhir Mishra,3,31.666666666666668
2607,Sue Ding,1,13.0
2608,Sue Lyon,1,7.0
2609,Sujeeth,1,41.0
2610,Sujoy Ghosh,3,60.666666666666664
2611,Sundar C.,1,31.0
2612,Sung Do-jun,1,44.0
2613,Sung-soo Kim,1,70.0
2614,Sunhil Sippy,1,21.0
2615,Sunkanmi Adebayo,1,59.0
2616,Suparn Verma,1,12.0
2617,Suresh Triveni,1,59.0
2618,Susan Seidelman,1,56.0
2619,Susanne Bier,2,50.5
2620,Suseenthiran,1,39.0
2621,Sven Unterwaldt,1,6.0
2622,Syamsul Yusof,1,21.0
2623,Sydney Sibilia,1,72.0
2624,Syed Ahmad Afzal,1,34.0
2625,Sylvain White,2,46.0
2626,Sylvie Verheyde,2,35.5
2627,"Syrine Boulanouar, Nekfeu",1,40.0
2628,"TJ Sullivan, Greg Rankin",1,20.0
2629,"Tad Stones, Toby Shelton, Victor Cook",1,49.0
2630,"Takeru Nakajima, Yoshiyuki Okada",1,61.0
2631,Tamas Yvan Topolanszky,1,27.0
2632,Tan Bing,1,24.0
2633,Tanveer Khan,1,5.0
2634,Tarun Mansukhani,1,30.0
2635,Tate Taylor,1,45.0
2636,Tatsushi Omori,1,65.0
2637,Tayarisha Poe,1,63.0
2638,Taylor King,1,11.0
2639,Taylor Morden,1,62.0
2640,Taylor Sheridan,1,79.0
2641,"Ted Berman, Richard Rich",1,62.0
2642,Ted Braun,1,76.0
2643,Ted Demme,1,68.0
2644,Ted Emery,1,32.0
2645,Ted Geoghegan,1,59.0
2646,Ted Mathot,1,60.0
2647,Ted Tetzlaff,1,9.0
2648,Teddy Lussi-Modeste,1,18.0
2649,Teja,1,21.0
2650,Tensai Okamura,1,49.0
2651,Terrie Samundra,1,19.0
2652,Terry Gilliam,1,62.0
2653,Terry Miles,2,31.0
2654,Thanakorn Pongsuwan,1,12.0
2655,The Existentialist,1,60.0
2656,Thea Sharrock,1,64.0
2657,Theo Love,1,46.0
2658,Theodore Boborol,1,28.0
2659,Theodore Melfi,2,67.5
2660,Theodore Witcher,1,78.0
2661,Theresa Bennett,1,63.0
2662,Thiagarajan Kumararaja,1,76.0
2663,"Thierry Demaizière, Alban Teurlai",1,48.0
2664,Thiru,2,16.5
2665,Thomas Bezucha,1,67.0
2666,Thomas Carr,1,7.0
2667,Thomas Carter,1,72.0
2668,Thomas Dekker,1,37.0
2669,Thomas M. Wright,1,24.0
2670,Thomas Meadmore,1,25.0
2671,Thomas Sieben,1,44.0
2672,Thomas Sorriaux,1,21.0
2673,Thomas Stuber,1,21.0
2674,Thor Freudenthal,1,55.0
2675,"Thurop Van Orman, John Rice",1,69.0
2676,Tianyu Zhao,1,57.0
2677,Ticoy Rodriguez,1,14.0
2678,Tiller Russell,1,78.0
2679,Tim Blake Nelson,1,54.0
2680,Tim Brown,1,30.0
2681,Tim Burton,3,58.0
2682,Tim Hill,3,47.333333333333336
2683,Tim Hunter,1,30.0
2684,Tim Maltby,1,18.0
2685,Tim Neeves,1,18.0
2686,Tim Reis,1,75.0
2687,Tim Story,2,47.0
2688,Tim Van Someren,1,78.0
2689,Timo Tjahjanto,2,66.5
2690,Timo Vuorensola,1,51.0
2691,Timothy Armstrong,1,27.0
2692,Timothy Björklund,1,49.0
2693,Timothy Bond,1,6.0
2694,Timothy Hutton,1,42.0
2695,Timothy Linh Bui,1,47.0
2696,Timothy Woodward Jr.,3,43.666666666666664
2697,Tinge Krishnan,1,53.0
2698,To-hoi Kong,1,21.0
2699,Toa Fraser,1,61.0
2700,Tobias Lindholm,1,75.0
2701,Toby Haynes,1,81.0
2702,Todd Berger,1,19.0
2703,Todd Biermann,1,64.0
2704,Todd Graff,1,66.0
2705,Todd Haynes,2,67.0
2706,Todd Phillips,3,60.0
2707,Todd Robinson,1,56.0
2708,Toka McBaror,1,54.0
2709,Tolga Karaçelik,1,44.0
2710,Tom DiCillo,1,32.0
2711,Tom Donahue,1,75.0
2712,Tom Edmunds,1,57.0
2713,Tom Elkins,1,46.0
2714,Tom Forrest,1,25.0
2715,Tom Harper,2,55.0
2716,Tom McCarthy,1,86.0
2717,Tom O'Brien,1,28.0
2718,Tom Vaughan,1,45.0
2719,Tommy Wirkola,1,62.0
2720,Tonino Valerii,1,77.0
2721,Tony Bill,1,67.0
2722,"Tony Craig, Bobs Gannaway",1,53.0
2723,Tony Elliott,1,56.0
2724,Tony Giglio,1,37.0
2725,Tony Gilroy,1,60.0
2726,Tony H. Cadwell,1,6.0
2727,"Tony Jaa, Panna Rittikrai",1,49.0
2728,Tony Kaye,1,81.0
2729,Tony Leondis,1,49.0
2730,Tony Maylam,1,52.0
2731,Tony Pietra Arjuna,1,62.0
2732,Tony Randel,1,21.0
2733,Tony Vidal,1,16.0
2734,Tony Zierra,1,77.0
2735,Travis Stevens,1,57.0
2736,Travis Zariwny,1,36.0
2737,Trevor Nunn,1,57.0
2738,Trey Edward Shults,1,78.0
2739,Trey Parker,1,65.0
2740,Trinadha Rao Nakkina,1,24.0
2741,Tristan Ferland Milewski,1,44.0
2742,Trivikram Srinivas,2,59.0
2743,Troy Miller,2,28.0
2744,Troy Nixey,1,57.0
2745,Trudie Styler,1,59.0
2746,Tyler Perry,2,55.0
2747,Tyler Savage,1,45.0
2748,Tyler Wayne,1,10.0
2749,Tània Balló,1,43.0
2750,Uga Carlini,1,27.0
2751,Ui-seok Jo,1,65.0
2752,Ulli Lommel,1,4.0
2753,Ulrike Kofler,1,48.0
2754,Umesh Ghadge,1,10.0
2755,Umut Aral,1,11.0
2756,Upi Avianto,1,15.0
2757,Uri Barbash,1,19.0
2758,Urszula Antoniak,1,12.0
2759,Uwe Boll,2,44.0
2760,Vadim Perelman,1,77.0
2761,Valeri Milev,1,12.0
2762,Vallo Toomla,1,10.0
2763,Vandana Kataria,1,22.0
2764,Vanessa Roth,1,18.0
2765,Vasanthabalan,1,29.0
2766,Venky Kudumula,1,49.0
2767,Vetrimaaran,1,38.0
2768,Vibeke Idsøe,1,35.0
2769,Vic Sarin,3,28.333333333333332
2770,Vicente Aranda,1,33.0
2771,Vicente Villanueva,1,68.0
2772,Vicky Wight,1,59.0
2773,"Victor Dal Chele, Alfred Gimeno",1,40.0
2774,Victor Vu,1,17.0
2775,Victor Zarcoff,1,52.0
2776,Vidhu Vinod Chopra,1,21.0
2777,Vignesh Shivan,1,36.0
2778,Vijay,1,25.0
2779,Vijay Krishna Acharya,1,29.0
2780,Vijay Kumar,1,13.0
2781,Vijay Lalwani,1,59.0
2782,Vijay Milton,1,14.0
2783,Vikram Bhatt,3,26.0
2784,Vikram Gandhi,1,62.0
2785,Vikram Pradhan,1,14.0
2786,Vikramaditya Motwane,1,60.0
2787,"Vikramaditya Motwane, Anurag Kashyap",1,80.0
2788,Vince Gilligan,1,77.0
2789,Vince Marcello,4,43.75
2790,Vincent McEveety,4,34.0
2791,Vincent Selva,1,1.0
2792,Vinil Mathew,1,60.0
2793,Vinod Anantoju,1,34.0
2794,Vipul Amrutlal Shah,2,47.0
2795,Vishal Bhardwaj,2,70.0
2796,Vishal Mahadkar,1,10.0
2797,Vishnu Varadhan,1,71.0
2798,Vishwesh Krishnamoorthy,1,17.0
2799,Vitor Brandt,1,49.0
2800,Vivek Agnihotri,2,20.0
2801,Vivek Elangovan,1,22.0
2802,Vlad Yudin,4,36.75
2803,"Vonda Harrell, Daniel Camenisch",1,7.0
2804,"Wade Allain-Marcus, Jesse Allain-Marcus",1,10.0
2805,Wade Gasque,1,36.0
2806,Wael Ehsan,2,34.0
2807,Wagner de Assis,1,36.0
2808,Walerian Borowczyk,1,51.0
2809,Walt Becker,1,47.0
2810,Walt Disney,1,40.0
2811,Walter Murch,1,62.0
2812,Warren Beatty,1,70.0
2813,Warren P. Sonoda,2,31.5
2814,Wayne Abbott,1,10.0
2815,Wayne Blair,1,73.0
2816,Wayne Wang,1,68.0
2817,Wellson Chin Sing-Wai,1,14.0
2818,Wendy Morgan,1,47.0
2819,Wenn V. Deramas,3,11.333333333333334
2820,Werner Herzog,1,42.0
2821,Wes Anderson,2,72.5
2822,Wes Craven,1,52.0
2823,Wes Miller,1,11.0
2824,White Trash Tyler,1,58.0
2825,Wilfred Jackson,2,44.5
2826,"Wilfred Jackson, Walt Disney",1,63.0
2827,Wilfred Jaxon,1,32.0
2828,"Wilhelm Liebenberg, Federico Sanchez",1,22.0
2829,Will Allen,1,65.0
2830,Will Forbes,1,31.0
2831,Will Gluck,2,67.5
2832,Will Mackenzie,1,12.0
2833,"Will McCormack, Michael Govier",1,83.0
2834,Will McFadden,1,8.0
2835,Will Wallace,1,36.0
2836,William A Graham,1,10.0
2837,William Bindley,1,46.0
2838,William Brent Bell,1,30.0
2839,William Crain,1,49.0
2840,William Dear,1,36.0
2841,William F. Claxton,1,23.0
2842,William H. Macy,2,50.0
2843,William J. Cowen,1,17.0
2844,William Jewell,1,25.0
2845,William Lau,3,60.666666666666664
2846,"William Lau, Sylvain Blais",1,61.0
2847,William Tannen,1,22.0
2848,William Wesley,1,29.0
2849,William Witney,2,1.5
2850,William Wyler,3,55.666666666666664
2851,"William Wyler, John Sturges",1,16.0
2852,Wilson Yip,3,74.0
2853,Wolfgang Reitherman,3,69.33333333333333
2854,"Wolfgang Reitherman, John Lounsbery, Art Stevens",1,70.0
2855,Wong Kar Wai,1,69.0
2856,Woo Min-ho,1,58.0
2857,Woo-seok Yang,1,72.0
2858,Woody Allen,4,58.25
2859,Wyatt Cenac,1,24.0
2860,Xavier Gens,1,44.0
2861,Xiaogang Feng,1,69.0
2862,Yandy Laurens,1,35.0
2863,Yang Woo-seok,1,67.0
2864,"Yann Arthus-Bertrand, Michael Pitiot",1,48.0
2865,Yann Gozlan,1,60.0
2866,Yash Chopra,6,43.833333333333336
2867,Yasir Nawaz,1,13.0
2868,Yasmin Ahmad,2,27.5
2869,Yee Tung-Shing,1,33.0
2870,Yeo Siew Hua,1,44.0
2871,Yesim Ustaoglu,1,42.0
2872,"Yoshiyuki Tomino, Yoshikazu Yasuhiko",1,55.0
2873,You-Jeong Chang,1,20.0
2874,Younuts!,1,40.0
2875,Youssef Chahine,5,36.4
2876,Yuen Wo-Ping,1,52.0
2877,Yuki Tanada,1,31.0
2878,Yulene Olaizola,1,39.0
2879,Yuval Adler,1,52.0
2880,Yvan Attal,1,46.0
2881,Yılmaz Erdoğan,2,39.0
2882,Zach Braff,2,67.5
2883,Zachary Heinzerling,1,79.0
2884,Zack Snyder,1,62.0
2885,Zak Hilditch,1,40.0
2886,Zakariya,1,20.0
2887,Zaza Urushadze,1,81.0
2888,Zeina Durra,1,65.0
2889,Zeke Norton,1,52.0
2890,Zep,1,29.0
2891,Zheng Xu,1,35.0
2892,Zhong Yu,1,24.0
2893,Zoya Akhtar,2,72.5
2894,"Zoya Akhtar, Karan Johar, Anurag Kashyap, Dibakar Banerjee",1,67.0
2895,Zu Quirke,1,59.0
2896,customflix,1,13.0
2897,magnolia,1,35.0
2898,mink,1,32.0
2899, Antonio Margheriti,1,3.0
2900," Raoul Walsh, Mario Bava",1,17.0
2901,Álex de la Iglesia,1,65.0
2902,Álvaro Delgado-Aparicio L.,1,64.0
2903,Étienne Chatiliez,1,20.0
